LOCATION;INDICATOR;SUBJECT;MEASURE;FREQUENCY;TIME;Value;Flag Codes
FRA;QGDP;TOT;PC_CHGPP;Q;2007-Q3;0.357967;
FRA;QGDP;TOT;PC_CHGPP;Q;2007-Q4;0.225853;
FRA;QGDP;TOT;PC_CHGPP;Q;2008-Q1;0.44954;
FRA;QGDP;TOT;PC_CHGPP;Q;2008-Q2;-0.453617;
FRA;QGDP;TOT;PC_CHGPP;Q;2008-Q3;-0.326472;
FRA;QGDP;TOT;PC_CHGPP;Q;2008-Q4;-1.42024;
FRA;QGDP;TOT;PC_CHGPP;Q;2009-Q1;-1.641848;
FRA;QGDP;TOT;PC_CHGPP;Q;2009-Q2;-0.093549;
FRA;QGDP;TOT;PC_CHGPP;Q;2009-Q3;0.165696;
FRA;QGDP;TOT;PC_CHGPP;Q;2009-Q4;0.696867;
FRA;QGDP;TOT;PC_CHGPP;Q;2010-Q1;0.390183;
FRA;QGDP;TOT;PC_CHGPP;Q;2010-Q2;0.518091;
FRA;QGDP;TOT;PC_CHGPP;Q;2010-Q3;0.584662;
FRA;QGDP;TOT;PC_CHGPP;Q;2010-Q4;0.704439;
FRA;QGDP;TOT;PC_CHGPP;Q;2011-Q1;1.049555;
FRA;QGDP;TOT;PC_CHGPP;Q;2011-Q2;0.058146;
FRA;QGDP;TOT;PC_CHGPP;Q;2011-Q3;0.227893;
FRA;QGDP;TOT;PC_CHGPP;Q;2011-Q4;0.273607;
FRA;QGDP;TOT;PC_CHGPP;Q;2012-Q1;0.086166;
FRA;QGDP;TOT;PC_CHGPP;Q;2012-Q2;-0.178415;
FRA;QGDP;TOT;PC_CHGPP;Q;2012-Q3;0.193487;
FRA;QGDP;TOT;PC_CHGPP;Q;2012-Q4;-0.06305;
FRA;QGDP;TOT;PC_CHGPP;Q;2013-Q1;-0.0357;
FRA;QGDP;TOT;PC_CHGPP;Q;2013-Q2;0.684972;
FRA;QGDP;TOT;PC_CHGPP;Q;2013-Q3;-0.001314;
FRA;QGDP;TOT;PC_CHGPP;Q;2013-Q4;0.463556;
FRA;QGDP;TOT;PC_CHGPP;Q;2014-Q1;0.076965;
FRA;QGDP;TOT;PC_CHGPP;Q;2014-Q2;0.166879;
FRA;QGDP;TOT;PC_CHGPP;Q;2014-Q3;0.476135;
FRA;QGDP;TOT;PC_CHGPP;Q;2014-Q4;0.099598;
FRA;QGDP;TOT;PC_CHGPP;Q;2015-Q1;0.455249;
FRA;QGDP;TOT;PC_CHGPP;Q;2015-Q2;-0.052567;
FRA;QGDP;TOT;PC_CHGPP;Q;2015-Q3;0.425742;
FRA;QGDP;TOT;PC_CHGPP;Q;2015-Q4;0.216838;
FRA;QGDP;TOT;PC_CHGPP;Q;2016-Q1;0.647457;
FRA;QGDP;TOT;PC_CHGPP;Q;2016-Q2;-0.312264;
FRA;QGDP;TOT;PC_CHGPP;Q;2016-Q3;0.222413;
FRA;QGDP;TOT;PC_CHGPP;Q;2016-Q4;0.621629;
FRA;QGDP;TOT;PC_CHGPP;Q;2017-Q1;0.833987;
FRA;QGDP;TOT;PC_CHGPP;Q;2017-Q2;0.6639;
FRA;QGDP;TOT;PC_CHGPP;Q;2017-Q3;0.666842;
FRA;QGDP;TOT;PC_CHGPP;Q;2017-Q4;0.780189;
FRA;QGDP;TOT;PC_CHGPP;Q;2018-Q1;0.241097;
FRA;QGDP;TOT;PC_CHGPP;Q;2018-Q2;0.161515;
FRA;QGDP;TOT;PC_CHGPP;Q;2018-Q3;0.280092;
FRA;QGDP;TOT;PC_CHGPP;Q;2018-Q4;0.50496;
FRA;QGDP;TOT;PC_CHGPP;Q;2019-Q1;0.382599;
FRA;QGDP;TOT;PC_CHGPP;Q;2019-Q2;0.302314;
FRA;QGDP;TOT;PC_CHGPP;Q;2019-Q3;0.265649;
FRA;QGDP;TOT;PC_CHGPP;Q;2019-Q4;-0.075108;
FRA;QGDP;TOT;PC_CHGPP;Q;2020-Q1;-5.832662;
