id,word,polarity,joy,fear,sadness,anger,surprise,disgust,one_word,word_variation,no_variation,sentiment
144,bête,negative,0,0,0,1,0,1,1,0,1,-1
145,beuglement,negative,0,1,1,1,0,0,1,0,1,-1
146,beugler,negative,0,1,1,1,0,0,1,0,1,-1
147,bien,positive,1,0,0,0,0,0,1,0,1,1
148,bienfaiteur,positive,0,0,0,0,0,0,1,0,1,1
149,bienheureux,positive,1,0,0,0,0,0,1,0,1,1
150,bienveillance,positive,0,0,0,0,1,0,1,0,1,1
151,bijoutier,positive,0,0,0,0,0,0,1,0,1,1
152,bimensuel,positive,0,0,0,0,0,0,1,0,1,1
153,bisannuel,positive,0,0,0,0,0,0,1,0,1,1
154,bisexuel,positive,0,0,0,0,0,0,1,0,1,1
155,blagueur,positive,0,0,0,0,1,0,1,0,1,1
156,blanc,positive,0,0,0,0,0,0,1,0,1,1
157,bloquer,negative,0,1,0,0,1,0,1,0,1,-1
158,boiteux,negative,0,0,1,0,0,0,1,0,1,-1
161,bord,positive,0,0,0,0,0,0,1,0,1,1
163,boueux,negative,0,0,0,0,0,1,1,0,1,-1
164,bouleverser,negative,0,1,1,1,0,0,1,0,1,-1
165,bourbe,negative,0,1,0,0,0,1,1,0,1,-1
166,bourde,negative,0,1,1,0,0,1,1,0,1,-1
167,bourgeois,negative,0,0,0,0,0,0,1,0,1,-1
168,bourrasque,negative,0,1,0,0,1,0,1,0,1,-1
169,bourru,negative,0,0,0,1,0,1,1,0,1,-1
170,boutonneux,negative,0,0,0,0,0,1,1,0,1,-1
171,boxeuse,positive,0,0,0,1,0,0,1,0,1,1
172,boycottage,negative,0,0,0,1,0,1,1,0,1,-1
173,brève,positive,0,0,0,0,0,0,1,0,1,1
174,brillant,positive,0,0,0,0,0,0,1,0,1,1
175,briller,positive,0,0,0,0,0,1,1,0,1,1
176,broche,positive,0,0,0,0,0,0,1,0,1,1
177,brouiller,negative,0,1,0,0,0,0,1,0,1,-1
178,broussailleux,negative,0,0,0,0,0,0,1,0,1,-1
179,brumeux,negative,0,1,1,0,0,0,1,0,1,-1
180,bruyamment,negative,0,0,0,1,0,0,1,0,1,-1
181,bruyère,negative,0,0,0,0,0,0,1,0,1,-1
182,câble,positive,0,0,0,0,1,0,1,0,1,1
184,caduque,negative,0,0,1,0,0,1,1,0,1,-1
185,cafouiller,negative,0,0,0,0,0,0,1,0,1,-1
186,cafteur,negative,0,0,0,1,0,0,1,0,1,-1
187,caillouteux,negative,0,1,0,0,0,0,1,0,1,-1
188,caissier,positive,0,0,0,0,0,0,1,0,1,1
189,calcul,positive,0,0,0,1,0,0,1,0,1,1
190,calleux,negative,0,0,0,1,0,1,1,0,1,-1
191,calme,positive,0,0,0,0,0,0,1,0,1,1
192,calmer,positive,0,0,0,0,0,0,1,0,1,1
193,calomnieux,negative,0,0,0,1,0,1,1,0,1,-1
194,calvaire,negative,0,1,1,1,1,0,1,0,1,-1
195,cambrioleur,negative,0,1,0,0,0,1,1,0,1,-1
196,candidat,positive,0,0,0,0,0,0,1,0,1,1
197,candide,negative,0,0,1,0,0,0,1,0,1,-1
198,capital,positive,0,0,0,0,0,0,1,0,1,1
199,capiteux,negative,1,0,0,0,0,0,1,0,1,-1
200,capitonnage,positive,0,0,0,0,0,0,1,0,1,1
201,capricieux,negative,0,0,0,1,0,0,1,0,1,-1
202,capsule,positive,0,0,0,0,0,0,1,0,1,1
203,captiver,positive,0,0,0,0,0,0,1,0,1,1
204,captif,negative,0,1,1,0,0,0,1,0,1,-1
206,caritatif,positive,0,0,0,0,0,0,1,0,1,1
207,cascade,positive,0,1,0,0,1,0,1,0,1,1
208,catcheur,negative,0,1,0,1,0,0,1,0,1,-1
209,caustique,negative,0,1,0,0,0,1,1,0,1,-1
210,cavalier,positive,0,0,0,0,0,0,1,0,1,1
211,cédant,positive,0,0,0,0,0,0,1,0,1,1
212,cellier,positive,0,0,0,0,0,0,1,0,1,1
213,cérémoniel,positive,0,0,0,0,0,0,1,0,1,1
214,chahut,negative,0,0,0,1,0,1,1,0,1,-1
215,chahuteur,negative,0,0,0,1,0,0,1,0,1,-1
216,chamailleur,negative,0,0,0,1,0,1,1,0,1,-1
217,champion,positive,0,0,0,0,0,0,1,0,1,1
218,chancelière,positive,0,0,0,0,0,0,1,0,1,1
219,chanceux,positive,1,0,0,0,0,0,1,0,1,1
220,chanteur,positive,0,0,0,0,0,0,1,0,1,1
221,chaotique,negative,0,1,1,0,0,0,1,0,1,-1
222,charade,positive,0,0,0,0,1,0,1,0,1,1
223,charge,negative,0,1,0,1,1,0,1,0,1,-1
224,charme,positive,0,0,0,0,1,0,1,0,1,1
225,charnel,negative,0,0,0,0,0,0,1,0,1,-1
226,chasseur,negative,0,1,1,1,0,0,1,0,1,-1
227,chatouilleur,negative,0,0,0,0,0,0,1,0,1,-1
228,chemin,positive,0,0,0,0,0,0,1,0,1,1
229,chenapan,negative,0,1,0,1,0,1,1,0,1,-1
230,chercheur,positive,0,0,0,0,0,0,1,0,1,1
231,chétif,negative,0,1,1,0,0,1,1,0,1,-1
232,chevelu,negative,0,0,0,0,0,1,1,0,1,-1
233,chirurgien,positive,0,0,0,0,0,0,1,0,1,1
234,chômeur,negative,0,1,1,0,0,0,1,0,1,-1
235,cingler,negative,0,1,0,0,1,1,1,0,1,-1
236,circonscription,positive,0,0,0,0,0,0,1,0,1,1
237,cireur,negative,0,0,0,0,0,1,1,0,1,-1
238,citoyen,positive,0,0,0,0,0,0,1,0,1,1
239,civil,positive,0,0,0,0,0,0,1,0,1,1
240,clairvoyant,positive,0,0,0,0,0,0,1,0,1,1
241,claquement,negative,0,1,0,0,1,0,1,0,1,-1
242,classification,negative,0,1,1,1,0,0,1,0,1,-1
243,clef,positive,0,0,0,0,0,0,1,0,1,1
244,clément,positive,1,0,0,0,0,0,1,0,1,1
245,client,positive,0,0,0,0,0,0,1,0,1,1
246,clore,negative,0,0,1,0,0,0,1,0,1,-1
247,coder,negative,0,0,0,0,0,0,1,0,1,-1
248,coercitif,negative,0,1,1,0,0,0,1,0,1,-1
249,cognitif,positive,0,0,0,0,0,0,1,0,1,1
250,cohérence,positive,0,0,0,0,0,0,1,0,1,1
251,cohésion,positive,0,0,0,0,0,0,1,0,1,1
252,cohésif,positive,0,0,0,0,0,0,1,0,1,1
254,collaborateur,positive,0,0,0,0,0,0,1,0,1,1
255,collecter,positive,0,0,0,0,0,0,1,0,1,1
256,collectionneur,positive,0,0,0,0,0,0,1,0,1,1
257,collectif,positive,0,0,0,0,0,0,1,0,1,1
258,colonisateur,negative,0,1,0,0,0,0,1,0,1,-1
259,comateux,negative,0,1,1,0,0,0,1,0,1,-1
260,combattant,positive,0,0,0,1,0,0,1,0,1,1
261,comique,positive,1,0,0,0,0,0,1,0,1,1
262,commémoratif,positive,0,0,1,0,0,0,1,0,1,1
263,commencement,positive,0,0,0,0,0,0,1,0,1,1
264,commentateur,positive,0,0,0,0,0,0,1,0,1,1
265,commerçant,positive,0,0,0,0,0,0,1,0,1,1
266,commission,positive,0,0,0,0,0,0,1,0,1,1
267,commode,positive,1,0,0,0,0,0,1,0,1,1
268,commun,positive,0,0,0,0,0,0,1,0,1,1
269,communicatif,positive,1,0,0,0,0,0,1,0,1,1
270,compact,positive,0,0,0,0,0,0,1,0,1,1
271,compensateur,positive,0,0,0,0,0,0,1,0,1,1
272,compétence,positive,0,0,0,0,0,0,1,0,1,1
273,compétitif,negative,0,0,0,1,0,0,1,0,1,-1
274,complètement,positive,0,0,0,0,0,0,1,0,1,1
275,comploter,negative,0,1,0,1,0,0,1,0,1,-1
276,compositeur,positive,0,0,0,0,0,0,1,0,1,1
277,concevoir,positive,0,0,0,0,0,0,1,0,1,1
278,concilier,positive,0,0,0,0,0,0,1,0,1,1
279,concorde,positive,0,0,0,0,0,0,1,0,1,1
280,concret,positive,0,0,0,0,0,0,1,0,1,1
281,concurrent,negative,0,1,1,1,0,1,1,0,1,-1
282,concurrentiel,negative,0,0,0,1,0,0,1,0,1,-1
283,conditionnel,positive,0,0,0,0,0,0,1,0,1,1
284,confection,positive,0,0,0,0,0,0,1,0,1,1
285,confessionnel,positive,0,0,0,0,0,0,1,0,1,1
286,confidentiel,positive,0,0,0,0,0,0,1,0,1,1
287,conflit,negative,0,0,0,1,0,0,1,0,1,-1
289,confus,negative,0,1,1,0,0,0,1,0,1,-1
290,conjecture,negative,0,1,1,0,0,0,1,0,1,-1
291,conjoint,positive,0,0,0,0,0,0,1,0,1,1
292,connaisseur,positive,0,0,0,0,0,0,1,0,1,1
293,connecter,positive,0,0,0,0,0,0,1,0,1,1
294,connaître,positive,0,0,0,0,0,0,1,0,1,1
295,conquérant,positive,0,0,0,0,0,0,1,0,1,1
296,consciencieux,positive,0,0,0,0,0,0,1,0,1,1
297,consécutif,positive,0,0,0,0,0,0,1,0,1,1
298,conseiller,positive,0,1,0,1,0,0,1,0,1,1
299,consentement,positive,0,0,0,0,0,0,1,0,1,1
300,conservation,positive,0,0,0,0,0,0,1,0,1,1
301,conservateur,negative,0,0,0,0,1,0,1,0,1,-1
302,consolateur,positive,1,0,0,0,0,0,1,0,1,1
303,conspiration,negative,0,1,1,1,0,1,1,0,1,-1
304,conspirateur,negative,0,1,0,1,0,1,1,0,1,-1
305,constamment,negative,0,0,0,0,0,0,1,0,1,-1
306,constitutionnel,positive,0,0,0,0,0,0,1,0,1,1
307,contagieux,negative,0,1,1,0,0,1,1,0,1,-1
308,conte,positive,1,0,0,0,0,0,1,0,1,1
309,contemporain,positive,0,0,0,0,0,0,1,0,1,1
310,content,positive,0,0,0,0,0,0,1,0,1,1
311,contestable,negative,0,0,0,0,0,0,1,0,1,-1
312,conteur,positive,0,0,0,0,0,0,1,0,1,1
313,contiguë,positive,0,0,0,0,0,0,1,0,1,1
314,continuel,positive,0,0,0,0,0,0,1,0,1,1
315,contraindre,negative,0,1,0,0,0,0,1,0,1,-1
316,contrarier,negative,0,1,1,1,0,1,1,0,1,-1
317,contrebandier,negative,0,1,0,1,0,1,1,0,1,-1
318,contrecarrer,positive,0,1,0,1,1,0,1,0,1,1
319,contremaître,positive,0,0,0,0,0,0,1,0,1,1
320,contretemps,negative,0,1,1,0,1,1,1,0,1,-1
321,contrevenant,negative,0,1,1,1,0,1,1,0,1,-1
323,contributrice,positive,0,0,0,0,0,0,1,0,1,1
324,convenance,positive,1,0,0,0,0,0,1,0,1,1
325,conventionnel,positive,0,0,0,0,0,0,1,0,1,1
326,copain,positive,0,0,0,0,0,0,1,0,1,1
327,copieur,negative,0,0,0,1,0,1,1,0,1,-1
328,copine,positive,0,0,0,0,0,0,1,0,1,1
329,coquillage,negative,0,0,0,0,0,1,1,0,1,-1
330,corallien,positive,0,0,0,0,0,0,1,0,1,1
331,corbeau,negative,0,0,0,1,0,1,1,0,1,-1
332,cordial,positive,0,0,0,0,0,0,1,0,1,1
333,corporel,positive,0,0,0,0,0,0,1,0,1,1
334,correctif,negative,0,1,1,0,0,0,1,0,1,-1
335,correspondant,positive,0,0,0,0,0,0,1,0,1,1
336,costaud,positive,0,1,0,0,0,0,1,0,1,1
337,côtier,positive,0,0,0,0,0,0,1,0,1,1
338,côtière,positive,0,0,0,0,0,0,1,0,1,1
340,courageux,positive,0,1,0,0,0,0,1,0,1,1
341,courbure,positive,0,0,0,0,0,0,1,0,1,1
342,coureur,positive,0,0,0,0,0,0,1,0,1,1
343,courrier,positive,0,0,0,0,0,0,1,0,1,1
344,courroie,negative,0,1,0,0,0,0,1,0,1,-1
345,courtier,positive,0,0,0,0,0,0,1,0,1,1
346,coutumier,positive,0,0,0,0,0,0,1,0,1,1
347,crainte,negative,0,1,0,0,0,0,1,0,1,-1
348,craintif,negative,0,1,1,0,0,0,1,0,1,-1
349,crasseux,negative,0,0,0,0,0,1,1,0,1,-1
350,créancier,positive,0,0,0,0,0,0,1,0,1,1
351,créateur,positive,0,0,0,0,0,0,1,0,1,1
352,crémeux,positive,0,0,0,0,0,0,1,0,1,1
353,crétin,negative,0,0,0,1,0,1,1,0,1,-1
354,creux,negative,0,1,1,0,0,0,1,0,1,-1
355,crevasse,negative,0,1,0,0,1,0,1,0,1,-1
356,cri,negative,0,1,0,1,1,0,1,0,1,-1
357,criminel,negative,0,1,0,1,0,1,1,0,1,-1
358,critiquer,negative,0,0,0,1,0,0,1,0,1,-1
359,critiqueur,negative,0,0,0,1,0,1,1,0,1,-1
360,croître,positive,0,0,0,0,0,0,1,0,1,1
361,crosse,positive,0,0,0,0,0,0,1,0,1,1
362,croyant,positive,0,0,0,0,0,0,1,0,1,1
363,cruel,negative,0,1,1,1,0,1,1,0,1,-1
364,cruellement,negative,0,0,1,0,0,0,1,0,1,-1
365,cueilleur,positive,0,0,0,0,0,0,1,0,1,1
366,cultiver,positive,0,0,0,0,0,0,1,0,1,1
367,curatif,positive,0,0,0,0,0,0,1,0,1,1
368,curé,positive,0,0,0,0,0,0,1,0,1,1
369,curieux,negative,0,0,0,0,0,0,1,0,1,-1
370,curseur,positive,0,0,0,0,0,0,1,0,1,1
371,cursus,positive,0,0,0,0,0,0,1,0,1,1
372,cutané,positive,0,0,0,0,0,0,1,0,1,1
373,cuve,negative,0,0,0,0,0,1,1,0,1,-1
374,cuvette,positive,0,0,0,0,0,0,1,0,1,1
375,dangereux,negative,0,1,1,1,1,0,1,0,1,-1
376,danseur,positive,0,0,0,0,0,0,1,0,1,1
381,débiteur,negative,0,1,1,0,0,0,1,0,1,-1
382,début,positive,0,0,0,0,0,0,1,0,1,1
383,débutant,negative,0,1,0,0,0,0,1,0,1,-1
384,déception,negative,0,0,1,1,0,0,1,0,1,-1
385,décès,negative,0,0,1,0,0,0,1,0,1,-1
386,déchaîner,negative,0,1,0,1,1,1,1,0,1,-1
387,déclaration,positive,0,0,0,0,0,0,1,0,1,1
388,déclarer,positive,0,1,0,0,0,0,1,0,1,1
389,déclinaison,positive,0,0,1,0,0,0,1,0,1,1
391,décontracter,positive,1,0,0,0,0,0,1,0,1,1
392,décoratif,positive,0,0,0,0,0,0,1,0,1,1
393,décevoir,negative,0,0,1,1,0,0,1,0,1,-1
394,dédaigneux,negative,0,0,0,1,0,1,1,0,1,-1
396,défaire,negative,0,0,0,0,0,0,1,0,1,-1
397,défectueux,negative,0,0,1,0,0,1,1,0,1,-1
398,défendable,positive,0,0,0,0,0,0,1,0,1,1
399,défendeur,positive,0,1,1,1,0,0,1,0,1,1
400,défensif,negative,0,0,0,0,0,0,1,0,1,-1
401,déficience,negative,0,0,1,0,0,0,1,0,1,-1
402,dégât,negative,0,0,1,1,0,1,1,0,1,-1
403,dégénérer,negative,0,1,0,0,0,1,1,0,1,-1
404,dégoã»ter,negative,0,1,1,1,0,1,1,0,1,-1
405,délabrer,negative,0,0,1,0,0,0,1,0,1,-1
406,délaver,negative,0,0,1,0,0,0,1,0,1,-1
407,déléguer,positive,0,0,0,0,0,0,1,0,1,1
408,délicat,negative,0,1,0,0,0,0,1,0,1,-1
409,délicatesse,positive,0,0,0,0,0,0,1,0,1,1
410,délice,positive,1,0,0,0,0,0,1,0,1,1
411,délicieux,positive,1,0,0,0,0,0,1,0,1,1
412,délinquant,negative,0,1,1,1,0,1,1,0,1,-1
413,demanderesse,negative,0,0,1,1,0,1,1,0,1,-1
414,démence,negative,0,1,1,1,0,1,1,0,1,-1
415,dément,negative,0,1,0,1,0,0,1,0,1,-1
416,demeure,positive,0,0,0,0,0,0,1,0,1,1
417,démonstrateur,positive,0,0,0,0,0,0,1,0,1,1
418,dentaire,positive,0,0,0,0,0,0,1,0,1,1
419,dénuer,negative,0,1,1,0,0,0,1,0,1,-1
420,dépareiller,negative,0,0,0,0,0,0,1,0,1,-1
421,déplacer,negative,0,0,0,1,1,0,1,0,1,-1
422,déplaire,negative,0,0,1,0,0,1,1,0,1,-1
423,dépourvue,negative,0,0,1,0,0,0,1,0,1,-1
424,dépourvues,negative,0,0,1,0,0,0,1,0,1,-1
425,dépourvus,negative,0,0,1,0,0,0,1,0,1,-1
426,dépressif,negative,0,1,1,1,0,0,1,0,1,-1
427,dérogation,positive,0,0,0,0,0,0,1,0,1,1
428,dérouter,negative,0,1,1,0,1,0,1,0,1,-1
430,désagrément,negative,0,0,0,1,0,0,1,0,1,-1
431,désapprobateur,negative,0,0,1,1,0,1,1,0,1,-1
432,désastreux,negative,0,1,1,1,0,1,1,0,1,-1
433,désavantage,negative,0,0,1,0,0,0,1,0,1,-1
434,descendant,positive,0,0,0,0,0,0,1,0,1,1
435,descriptif,positive,0,0,0,0,0,0,1,0,1,1
436,déshonneur,negative,0,0,1,0,0,1,1,0,1,-1
437,désopiler,positive,0,0,0,0,1,0,1,0,1,1
438,désordre,negative,0,1,0,1,1,0,1,0,1,-1
439,désorganisation,negative,0,0,0,0,0,0,1,0,1,-1
441,destroyer,negative,0,1,0,1,0,0,1,0,1,-1
442,destructeur,negative,0,1,1,1,0,1,1,0,1,-1
443,déstructurer,negative,0,1,1,0,0,0,1,0,1,-1
444,détenteur,positive,0,0,0,0,0,0,1,0,1,1
445,détenir,negative,0,1,1,1,0,1,1,0,1,-1
446,déterminer,positive,0,0,0,0,0,0,1,0,1,1
447,détourner,negative,0,1,1,0,0,0,1,0,1,-1
448,dévalorisation,negative,0,1,1,0,0,0,1,0,1,-1
449,dévastateur,negative,0,1,1,1,0,1,1,0,1,-1
450,dévoiler,negative,0,1,0,0,1,0,1,0,1,-1
451,dictateur,negative,0,1,1,1,0,0,1,0,1,-1
452,diffamatoire,negative,0,0,0,1,0,1,1,0,1,-1
453,différend,negative,0,0,1,1,0,0,1,0,1,-1
454,différentiel,positive,0,0,0,0,0,0,1,0,1,1
455,difficile,negative,0,0,1,0,0,0,1,0,1,-1
456,difficulté,negative,0,0,1,0,0,0,1,0,1,-1
457,difforme,negative,0,1,1,0,0,1,1,0,1,-1
458,difformité,negative,0,1,1,0,0,1,1,0,1,-1
459,diminuer,negative,0,0,1,0,0,0,1,0,1,-1
460,diminution,negative,0,0,1,0,0,0,1,0,1,-1
461,dingue,negative,0,1,0,0,1,1,1,0,1,-1
462,directement,positive,0,0,0,0,0,0,1,0,1,1
464,discipliner,positive,0,0,0,0,0,0,1,0,1,1
465,discordance,negative,0,0,0,1,0,0,1,0,1,-1
466,discret,positive,0,0,1,0,1,0,1,0,1,1
467,disgracieux,negative,0,0,0,0,0,1,1,0,1,-1
468,dispute,negative,0,1,1,1,0,1,1,0,1,-1
469,dissident,negative,0,1,0,1,0,0,1,0,1,-1
470,dissimuler,negative,0,1,1,0,0,0,1,0,1,-1
471,distinction,positive,0,0,0,0,1,0,1,0,1,1
472,distinctif,positive,0,0,0,0,0,0,1,0,1,1
473,distinguer,positive,0,0,0,0,0,0,1,0,1,1
474,divertir,positive,1,0,0,0,0,0,1,0,1,1
475,divin,positive,0,0,0,0,0,0,1,0,1,1
477,divulgation,negative,0,1,0,0,1,0,1,0,1,-1
478,dominateur,negative,0,0,0,1,0,0,1,0,1,-1
479,donateur,positive,0,0,0,0,0,0,1,0,1,1
481,donneur,positive,0,0,0,0,0,0,1,0,1,1
483,doux,positive,0,0,1,0,0,0,1,0,1,1
484,douer,positive,0,0,0,0,0,0,1,0,1,1
485,douloureux,negative,0,1,1,1,0,1,1,0,1,-1
486,douteur,negative,0,1,0,0,0,1,1,0,1,-1
487,doyen,positive,0,0,0,0,0,0,1,0,1,1
488,draconien,negative,0,0,1,0,0,0,1,0,1,-1
491,dual,positive,0,0,0,0,0,0,1,0,1,1
492,dubitatif,negative,0,1,0,0,0,0,1,0,1,-1
493,duperie,negative,0,1,1,1,1,1,1,0,1,-1
494,duplicata,positive,0,0,0,0,0,0,1,0,1,1
495,duveteux,positive,1,0,0,0,0,0,1,0,1,1
496,ébouriffer,negative,0,0,0,0,0,1,1,0,1,-1
497,ébranler,negative,0,1,1,0,1,0,1,0,1,-1
498,écailleur,negative,0,0,0,0,0,1,1,0,1,-1
499,écartement,positive,0,0,0,0,0,0,1,0,1,1
500,échec,negative,0,0,1,0,0,1,1,0,1,-1
501,éclaireur,positive,0,0,0,0,0,0,1,0,1,1
502,éclat,positive,1,0,0,0,0,0,1,0,1,1
503,économe,positive,0,0,0,0,0,0,1,0,1,1
504,écoulement,positive,0,0,0,0,0,0,1,0,1,1
505,écraser,negative,0,0,1,0,0,0,1,0,1,-1
506,écume,positive,0,0,0,0,0,1,1,0,1,1
